タイムスタンプ,発表済か(0は発表未、1は発表済),パロディ元募集の規約に同意してください。,"名前(ネットでの使用名)を記入してください。
※名前を騙る行為は大変迷惑ですので、おやめください。",Twitter(X)のID(なければメールアドレス)を入力してください。(ここの記載を間違えると連絡ができません！),ボカロPですか？作詞家ですか？絵師ですか？動画師ですか？（複数選択可、メインでなくとも作ったことがあれば選択してください）,"あなたの曲(あなたが担当した曲)のうち、パロディを禁止する曲があれば列挙してください。
※逆に「○○」「○○」以外は禁止という書き方も可能です。","あなたの曲(あなたが担当した曲)のうち、パロディが含まれている曲があれば列挙してください。(替え歌や、いわゆる界隈曲など)
※そのパロディ元にごめんなさい投稿祭が許可を取っていない場合(もしくはパロディ元がボカロ曲(広義)でない場合)は、その曲のうち、そのパロディを含む部分はパロディができません(パロディを行う場合は自己責任となります)。",ニコニコ動画以外にも投稿を許可しますか？,"クレジットについて、オプションを1つ選んでください。
※1つ前の質問で「許可しない」を選んだ方は「*」が先頭に付いている選択肢から選んでください。「許可する」を選んだ方はどれを選んでいただいても良いです。","収益化(ニコニコ動画のクリエイター奨励プログラムとYouTubeの収益化プログラムのみ)を許可しますか？
※その他の収益化の許可はごめんなさい投稿祭としては致しません。
※2つ前の質問で「許可しない」を選んだ方は「許可する」または「許可しない」を選んでください。","この応募の後(2024年8月20日まで)に投稿された楽曲も、パロディ元の対象としますか？
※別途ご連絡があれば、特定の楽曲を対象としたりしなかったりすることができます。","「ごめんなさい投稿祭2」に準ずるものが開催されることとなったとき、このフォーム入力を省略できるようにしますか？
※自動更新となります。当然その際には連絡を入れ、その時にやめることもできます。","ごめんなさい投稿祭運営が公式HPやTwitter(X)で、あなたのアイコン(Twitter(X)もしくは動画投稿サイトのアイコン)を使用してよいですか？
※パロディ元の宣伝以外では使いません。",その他オリジナルライセンスがあれば、記入してください。（曲を担当された絵師さんや動画師さんに既に許可が取れていましたら、ここにその旨を記入してください。）,"最後に一言どうぞ！
※掲載される文章です。運営に伝えたいことは次の質問に記入してください。",もし運営への要望などのコメントがございましたら、記入してください。,名前のふりがなを記入してください。（英語なども含めて、読みを全てひらがなで入力してください）,もし「この曲を一番パロディしてほしい！」という曲があれば記入してください。(1曲のみ),一番パロディしてほしい曲のリンク,ニコ動のリンク,YouTubeのリンク,一番パロディしてほしい曲のリンク（ニコニコ復旧後）,ニコニコメンテナンス遺産
2024/05/18 18:31:05,1,同意する,或る少年,flagDeathflag,"ボカロP, 作詞家",シリーズ「コラボ作品」(https://www.nicovideo.jp/series/304871)内のもの,,許可しない,記載しなくてよい,許可する,対象とする,省略できるようにする,使用してよい,,或る少年と申します。パロディにし易いような作品はあまり投稿しておりませんが、その分楽しみにしています。親作品登録は必須ではありませんが、もしして頂けると見に行くことが出来て嬉しいです。或る世界線と唯一つ啼く烏に祝福を。,,あるしょうねん,偶成,https://www.nicovideo.jp/watch/sm41923966,https://nicovideo.jp/user/123009031,https://www.youtube.com/@arusyo,,https://www.youtube.com/watch?v=Pyobw-nY4ls
2024/05/19 16:07:30,1,同意する,MidLuster,midluster,"ボカロP, 作詞家, 絵師, 動画師",おねしょした.mp4(動画全体パロディ不可、曲のパロディ可),全てWiFiの所為です。,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,,な ん で も い い よ,,みどらすた,メサイアコンプレックス,https://www.nicovideo.jp/watch/sm42288582,https://nicovideo.jp/user/88702816,https://www.youtube.com/@MidLuster,,https://www.youtube.com/watch?v=eyxzTmBMa1c
2024/05/22 10:42:14,1,同意する,梨緒*ベタ打ちピアノP,@Rio_Rio_P,"ボカロP, 作詞家, 絵師, 動画師, アバター製作者, VTuber, UTAU製作者",Iの(作曲者複数の為全面使用禁止)、風信子(イラスト統一祭動画の為動画の使用禁止),,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,,はじめまして、皆様。こんばんなっしー！梨緒*ベタ打ちピアノPと申します。僕自身病み曲製造機なので、どんな曲が完成するか気になって応募させていただきました！ハイテンション化あり、どん底の鬱曲あり、皆さんのアレンジを楽しみにしています！！,,りおべたうちぴあのぴー,ホワイトゴースト,https://www.nicovideo.jp/watch/sm41945063,https://nicovideo.jp/user/127792867,https://www.youtube.com/@Rio_Rio_P,,https://www.youtube.com/watch?v=hqcaK2HNTTQ
2024/05/22 10:25:21,1,同意する,凛-RIN-,@0o0rin_main0o0,"ボカロP, 作詞家, 絵師, 動画師",,,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可しない,対象とする,省略できるようにする,使用してよい,「人生徨路」の歌詞（eminusさん担当）もパロディ可、「嘘夢」は絵のパロディ不可,,,りんりん,人生徨路,https://www.nicovideo.jp/watch/sm41950324,https://nicovideo.jp/user/121891093,,,https://www.nicovideo.jp/watch/sm41950324
2024/05/22 19:36:01,1,同意する,星影キノコ,hoshikino,"ボカロP, 作詞家, 絵師, 動画師",,イベントつりっくまの歌、ニコニコ運営に言いたいことがあるんだ（2つともニコ生ゲームに関する曲）,許可しない,動画概要欄での記載・親作品の登録が必須,ニコニコ動画のみ許可する,対象とする,省略できるようにする,使用してよい,「±0」の絵（チーノさん担当）もパロディ可,変な曲しか作ったことありません。…パロディ出来る曲なのかも怪しいです（,,ほしかげきのこ,スパンキング太郎,https://www.nicovideo.jp/watch/sm38242555,https://nicovideo.jp/user/15916008,,,https://www.nicovideo.jp/watch/sm38242555
2024/05/25 8:27:32,1,同意する,むっちゃん（Muufe）,@muccha_mucchan,"ボカロP, 作詞家, 絵師, 動画師",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象としない,省略できるようにしない,使用してよい,くうたも(@mucchan_kuutamo)名義含む、「ハイシンジャンキー」の絵（花鳥まことさん担当）・作詞（祇園ヒロさん担当）もパロディ可,たかが僕の曲なんで適当に生贄として持って行ってください(￣∇￣),,むっちゃん（むっちゃん）,ハイシンジャンキー,https://www.nicovideo.jp/watch/sm42564225,https://nicovideo.jp/user/3064702,https://www.youtube.com/@muufe2951,,https://www.youtube.com/watch?v=NPyNvF15Sgg
2024/05/22 19:28:06,1,同意する,彩葉@反面教師P,iloha_091187,"ボカロP, 作詞家, 絵師, 動画師",ファンタジアガール(絵はパロディ不可),,許可する,動画概要欄での記載・親作品の登録が必須・Xのアカウントを持っている場合Xでメンション,許可しない,対象とする,省略できるようにする,使用してよい,彩葉@反面教師Pさんが制作したオリジナルキャラクターの衣装を改変する場合、過度に露出のあるものは控えること。不安に感じた場合はお問い合わせください。「FIRE」「ICE」の絵（現さん担当）・「サディスト」の絵（嘘月彩葉さん担当）もパロディ可、「デーモン・ティーチャー」の絵はパロディ可だが「デーモン・ティーチャー」の絵を担当した絵師さんのアカウント名や名前等を一切出さないこと,いつか二次創作されるのが夢なんです！面白いパロディお待ちしております！,,いろはあっとはんめんきょうしぴー,レイデンメンヘラ,https://www.nicovideo.jp/watch/sm42562497,https://nicovideo.jp/user/124746922,https://www.youtube.com/@furari_87,,https://www.youtube.com/watch?v=XOKRgOIt3bI
2024/05/22 22:42:50,1,同意する,ぐるこーす△,@glucose_selfish,ボカロP,永訣の夜、Above、VUCA(絵ならびに動画はパロディ不可),,許可する,どこかに記載必須,許可する,対象とする,省略できるようにしない,使用してよい,グループUNSELFISH(@scarum_liar_696)の曲含む、LOG-GEAR名義の曲はパロディ対象外、「ギィ」の絵（かぴばらさん担当）もパロディ可、「イクセプショナル・サバイバー」「ファム・ファタル」「枷」の絵（若松さん担当）もパロディ可,必要とあらばstemデータの提供も可能な範囲で承ります。大暴れしてください！,,ぐるこーす,ギィ,https://www.nicovideo.jp/watch/sm42015985,https://nicovideo.jp/user/128569748,https://www.youtube.com/@user-zt5sq8ic4b,,https://www.youtube.com/watch?v=8ygl4QdR3oo
2024/05/25 18:19:16,1,同意する,未定さくり(ほわほわ医療P),@mitei_sacri,"ボカロP, 作詞家, 絵師, 動画師",,,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,「きゅーさい！」の絵・動画・MIX（FixerAさん担当）もパロディ可、FixerAさんのクレジットは未定さくり(ほわほわ医療P)さんの規約に準拠,法に触れさえしなければ何をしていただいても大丈夫です！,拙作「きゅーさい！」に関してのみ、楽曲中のイラストをそのまま転用することを禁止にさせていただきたいです(当該イラストを元にした二次創作的なものであれば大丈夫です)。,みていさくり(ほわほわいりょうぴー),きゅーさい！,https://www.nicovideo.jp/watch/sm41948177,https://nicovideo.jp/user/123777622,https://www.youtube.com/@mitei_sacri_P,,https://www.youtube.com/watch?v=JusPZroh0qk
2024/05/26 7:55:11,1,同意する,天宮竜翔,@tenryuriver,"ボカロP, 作詞家",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,面白い試みだなと思って参加表明しました。よろしくお願いします。,,あまみやりゅうと,「なにか歌ってよ」と言われたとき対策の「なにか」,https://www.nicovideo.jp/watch/sm43144217,https://nicovideo.jp/user/14799325,https://www.youtube.com/@MrUnlock1,,https://www.youtube.com/watch?v=ZTaXn_han7w
