タイムスタンプ,発表済か(0は発表未、1は発表済),パロディ元募集の規約に同意してください。,"名前(ネットでの使用名)を記入してください。
※名前を騙る行為は大変迷惑ですので、おやめください。",Twitter(X)のID(なければメールアドレス)を入力してください。(ここの記載を間違えると連絡ができません！),ボカロPですか？作詞家ですか？絵師ですか？動画師ですか？（複数選択可、メインでなくとも作ったことがあれば選択してください）,"あなたの曲(あなたが担当した曲)のうち、パロディを禁止する曲があれば列挙してください。
※逆に「○○」「○○」以外は禁止という書き方も可能です。","あなたの曲(あなたが担当した曲)のうち、パロディが含まれている曲があれば列挙してください。(替え歌や、いわゆる界隈曲など)
※そのパロディ元にごめんなさい投稿祭が許可を取っていない場合(もしくはパロディ元がボカロ曲(広義)でない場合)は、その曲のうち、そのパロディを含む部分はパロディができません(パロディを行う場合は自己責任となります)。",ニコニコ動画以外にも投稿を許可しますか？,"クレジットについて、オプションを1つ選んでください。
※1つ前の質問で「許可しない」を選んだ方は「*」が先頭に付いている選択肢から選んでください。「許可する」を選んだ方はどれを選んでいただいても良いです。","収益化(ニコニコ動画のクリエイター奨励プログラムとYouTubeの収益化プログラムのみ)を許可しますか？
※その他の収益化の許可はごめんなさい投稿祭としては致しません。
※2つ前の質問で「許可しない」を選んだ方は「許可する」または「許可しない」を選んでください。","この応募の後(2024年8月20日まで)に投稿された楽曲も、パロディ元の対象としますか？
※別途ご連絡があれば、特定の楽曲を対象としたりしなかったりすることができます。","「ごめんなさい投稿祭2」に準ずるものが開催されることとなったとき、このフォーム入力を省略できるようにしますか？
※自動更新となります。当然その際には連絡を入れ、その時にやめることもできます。","ごめんなさい投稿祭運営が公式HPやTwitter(X)で、あなたのアイコン(Twitter(X)もしくは動画投稿サイトのアイコン)を使用してよいですか？
※パロディ元の宣伝以外では使いません。",その他オリジナルライセンスがあれば、記入してください。（曲を担当された絵師さんや動画師さんに既に許可が取れていましたら、ここにその旨を記入してください。）,"最後に一言どうぞ！
※掲載される文章です。運営に伝えたいことは次の質問に記入してください。",もし運営への要望などのコメントがございましたら、記入してください。,名前のふりがなを記入してください。（英語なども含めて、読みを全てひらがなで入力してください）,もし「この曲を一番パロディしてほしい！」という曲があれば記入してください。(1曲のみ),一番パロディしてほしい曲のリンク,ニコ動のリンク,YouTubeのリンク,一番パロディしてほしい曲のリンク（ニコニコ復旧後）,ニコニコメンテナンス遺産
2024/05/23 22:38:51,1,同意する,シカクドット,@shikaku_dot,"ボカロP, 作詞家",!、?、Kawaii☆オーバードーズ、ウナなん方言、カレーうどんが売ってない、カレーうどんが売ってます、パモさん、床の隙間の汚れMusic、ポテトがSしか売ってない以外はパロディ禁止,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,みんなの熱い投稿待ってるぜ！,,しかくどっと,ポテトがSしか売ってない,https://www.nicovideo.jp/watch/sm40005627,https://nicovideo.jp/user/361781,https://www.youtube.com/@ShikakuDot,,https://www.youtube.com/watch?v=8Z2Srcdu2-I
2024/05/30 23:45:10,1,同意する,イエロー,A_M_tomato,ボカロP,,,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,覺醒セシ聖母ヲ讃エル終末合唱【原罪】、振り子人形のみ対象とする,省略できるようにしない,使用してよい,絵・動画もパロディ可,ポップダークホラーメルヘン宗教…いろいろあるから好きなの選んでね☆彡誰か！！！！パロして！！！大暴れして！！！お願いします！！！！！！！！,,いえろー,荼枳尼信仰,https://www.nicovideo.jp/watch/sm42568106,https://nicovideo.jp/user/32797530,https://www.youtube.com/@_am5502,,https://www.youtube.com/watch?v=4D1P9tRxec0
2024/05/27 14:00:45,0,同意する,如月ましろ,Ma4r0_,ボカロP,アスペガール(イラスト統一祭楽曲)、ダチュラ(イラスト統一祭楽曲)、及びニコニコ動画投稿曲のうち、2020年以前の動画楽曲全て,,許可しない,動画概要欄での記載・親作品の登録が必須,許可しない,対象としない,省略できるようにする,使用してよい,ニコニコ動画に投稿されている楽曲のみを対象とする。「stray sheep」「覚聖前夜」「エンドロールに賞賛は要らない」「凍蝶花葬」「メメントドリー」の絵（お面屋さん担当）もパロディ可、「ひとりぼっちのオーバードーズ」「血泥娘々」「鵺のなげき」「Night fragments」の絵はパロディ不可、それ以外すべての曲の絵（桐山マチさん担当）はパロディ可、カナタさんが動画を担当されている、一部の曲の動画もパロディ可,,,きさらぎましろ,透明花葬,https://www.nicovideo.jp/watch/sm41141610,https://nicovideo.jp/user/31046876,https://www.youtube.com/@Ma4r0yurinti,,https://www.youtube.com/watch?v=yEALnR5tzSw
2024/05/31 20:41:19,1,同意する,なまにく,@namaniku_7029,"ボカロP, 作詞家",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,コメントや反応に困る類の曲ばかり作っています。つまり弄り難いしパロディし難いです。やれるものならやってみろください。,,なまにく,鬼が来る,https://www.nicovideo.jp/watch/sm34509261,https://nicovideo.jp/user/116318355,https://www.youtube.com/@user-yc4lq1zz6z,,https://www.youtube.com/watch?v=cIMrDtT4VY0
2024/06/01 16:12:29,1,同意する,コーリー牛乳,@collee_milk,"ボカロP, 作詞家, 絵師, 動画師",,歌姫,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,何もかも使ってください！,,こーりーぎゅうにゅう,ホスホグリセリン酸ムターゼ,https://www.nicovideo.jp/watch/sm42574096,https://nicovideo.jp/user/125838224,https://www.youtube.com/@colleemilk,,https://www.youtube.com/watch?v=qBnslQlsVxo
2024/05/31 22:42:04,1,同意する,パラレルヤマト,@Paraleruyamato,ボカロP,動画やイラストの使用は禁止,,許可する,動画概要欄での記載・親作品の登録が必須,YouTubeのみ許可する,対象とする,省略できるようにする,使用してよい,,色々パロディしてください！,,ぱられるやまと,大丈夫さ,https://www.nicovideo.jp/watch/sm41083433,https://nicovideo.jp/user/56990814,,,https://www.nicovideo.jp/watch/sm41083433
2024/05/23 9:30:26,1,同意する,シチウム,@seaside_metro,"ボカロP, 作詞家, 絵師, 動画師",Elixir、解体,解体,許可する,動画概要欄での記載・親作品の登録が必須,ニコニコ動画のみ許可する,対象とする,省略できるようにする,使用してよい,絵・アニメーションもパロディ可,かくに　それは　うまいもの,,しちうむ,さいごに,https://www.nicovideo.jp/watch/sm42583738,https://nicovideo.jp/user/56718114,https://www.youtube.com/@sytiumsan,,https://www.youtube.com/watch?v=5UxZgSuMlyM
2024/05/27 23:22:00,1,同意する,Whinartense(89P),@whinartense_89,"ボカロP, 作詞家, 絵師, 動画師",桜道、menHELLa lollypop、輝くミライ（TV size）,敗北宣言(Long ver.)(最後のラップが敗北者ラップをオマージュしている),許可する,動画概要欄での記載・親作品の登録が必須,許可しない,対象とする,省略できるようにする,使用してよい,"一部楽曲がJASRACに登録されているため、J-WIDの確認または以下のサイトを一読すること。
https://whinartense89.fanbox.cc/posts/6708893",気になるなー、どうしようかなーと悩んでいたら、公式さんのDMに背中を押されてこちら側につくことにしました！(笑)よろしくお願い致します！！,"お疲れ様です！ご丁寧なDMをきっかけに、こちら側に回りました白夜園香です！
DM届くまで、どちら側で出るかかなり悩んでいましたので、後押ししていただき、感謝しております。
私もどういったものが届くのか不安な部分もありますが、協力できることは致しますので(Steam配布等)、TwitterDMで何なりとお申し付けくださいませ！
以降、よろしくお願い足します。",うぃなーてんす(はくぴー),夢追い漫才師,https://www.nicovideo.jp/watch/sm41945072,https://nicovideo.jp/user/21803658,https://www.youtube.com/@whinartense89sono,,https://www.youtube.com/watch?v=J6XSh-JBEn4
2024/05/29 4:09:12,1,同意する,藤原ハガネ,@fujitetsu8,ボカロP,ゴールデン寿司ガール,千変万花☆エゴイズム、±0、急転直花☆オートメーション、新姫劇、天井の研ナ○コが気になって眠れない、ヘパイストス、スタッフロール、く○たしげたかがまどからみている、圃ﾘ為袈、ワルアガキ、ふぁんぶる！,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,ゴマヒチさん、まいどみどさん、残響室さんが絵を担当されている曲の絵もパロディ可,いつかはラレ側になりたいと思っていました。よろしくお願いします,,ふじわらはがね,ふぁんぶる！(パロディを含む部分は原則パロディ不可),https://www.nicovideo.jp/watch/sm43841079,https://nicovideo.jp/user/97110846,https://www.youtube.com/@fujitetsu8,,https://www.youtube.com/watch?v=SsRtQ9pocQg
2024/05/30 21:32:41,1,同意する,ンバヂ,@nbaji9,"ボカロP, 作詞家, 絵師, 動画師",好きな惣菜発表ドラゴン以外はごめんなさい投稿祭では禁止,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象としない,省略できるようにする,使用してよい,曲のイメージを損なうものや素材のイメージを損なう使用はご遠慮ください。ニコニ・コモンズの曲や画像の素材を使う場合はそちらの規約を守ってください(現在ニコニ・コモンズの曲の素材について規約の整備を行っていますのでこの応募時点の規約から変更になる可能性があります),パロディ！,,んばぢ,好きな惣菜発表ドラゴン,https://www.nicovideo.jp/watch/sm42515407,https://nicovideo.jp/user/33916307,https://www.youtube.com/@nbaji1344,,https://www.youtube.com/watch?v=OnCFEo_pXaY
2024/06/11 0:18:52,1,同意する,oniB,@oniBmusic,ボカロP,,,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,,面白い企画ですね！よろしくお願いします！,,おにびー,箱(絵はパロディ不可),https://www.nicovideo.jp/watch/sm40685241,https://nicovideo.jp/user/123381286,https://www.youtube.com/@oniB,,https://www.youtube.com/watch?v=gKlgD_-b8sQ
2024/06/08 12:31:27,1,同意する,さとしん,@satoshin_NCD,ボカロP,Entfremdung、毒盛ってごめん、つくよみちゃんの通り道、並びに今後投稿されるパロディ曲,Entfremdung、毒盛ってごめん、つくよみちゃんの通り道,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,,パロディされてこそワイの曲は輝く（かもしれない）,,さとしん,雨が止む、花を踏む、何だこれ,https://www.nicovideo.jp/watch/sm42063009,https://nicovideo.jp/user/94046066,https://www.youtube.com/@satoshin_,,https://www.youtube.com/watch?v=-6JiCetzFG8
2024/06/25 21:49:19,1,同意する,NorthP,northgazemusic,"ボカロP, 作詞家, 動画師",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象としない,省略できるようにする,使用してよい,イソベさんが絵を担当されている曲の絵・究極オクトパスさんが動画を担当されている曲の動画もパロディ可、政治的なメッセージを含むものはパロディ不可,好きにやっちゃってー,,のーすぴー,Killer happy,https://www.nicovideo.jp/watch/sm43880513,https://nicovideo.jp/user/126628364,https://www.youtube.com/@NorthP_official,,https://www.youtube.com/watch?v=k2E50c76-mI
2024/07/10 18:12:20,1,同意する,紺色,@K_333c5e,"ボカロP, 作詞家, 絵師, 動画師",,,許可する,記載しなくてよい,許可する,対象とする,省略できるようにする,使用してよい,,オーディオインターフェースの使い方を教えてください,,こんいろ,三日月レコード,https://www.nicovideo.jp/watch/sm41569573,https://nicovideo.jp/user/95140435,https://www.youtube.com/@333c5e,,https://www.youtube.com/watch?v=gWpsAW6CBwU
2024/07/12 18:29:33,1,同意する,4O5人,@ShiokoSHOW24,"ボカロP, 動画師, 動画の出演者(実写)",4O5人さん以外が描いた絵、イラストを使用している曲(イラスト統一祭に投稿した曲等)は禁止,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,4O5人さんの動画に出てくる実写の顔素材はパロディの動画に使用可(顔素材：https://drive.google.com/drive/folders/18wnwlZBP8nbCsRIBrNoB5McMIx2MViNy),OHAS！4O5人の顔で遊んであげてください！,お誘いいただきありがとうございます！4O5人の顔素材の配布準備ができ次第、X(Twitter)のDMへ送らせていただきます。,しおこじん,というううううううゆめめめめめめめめめをみttttttttttttttttみたみたんだだだだだだだだだだ,https://www.nicovideo.jp/watch/sm42523924,https://nicovideo.jp/user/66688520,https://www.youtube.com/@ShiokoSHOW24,,https://www.youtube.com/watch?v=0cr9qzFRxVA
2024/07/16 23:39:14,1,同意する,しらたま(蛮族P),shiratama15291,"ボカロP, 作詞家, 絵師, 動画師",水になる、君がいなくちゃの動画,,許可する,記載しなくてよい,許可する,対象としない,省略できるようにしない,使用してよい,,パロディやるぞやるぞやるぞ,,しらたま(ばんぞくぴー),蛮族の子,https://www.nicovideo.jp/watch/sm41754970,https://nicovideo.jp/user/89264375,https://www.youtube.com/@shiratama_channel,,https://www.youtube.com/watch?v=EbmNQld7rXg
2024/07/17 0:12:17,1,同意する,シンP,takumisin,"ボカロP, 作詞家, 動画師",,,許可する,記載しなくてよい,許可する,対象とする,省略できるようにする,使用してよい,,,,しんぴー,卑怯戦隊うろたんだー,https://www.nicovideo.jp/watch/sm1639267,https://nicovideo.jp/user/2197196,,,https://www.nicovideo.jp/watch/sm1639267
2024/07/17 14:11:18,1,同意する,ねこぜなおとこ,@nekoze_na_info,ボカロP,作詞・作曲・編曲・演奏にねこぜなおとこさん以外が参加している曲、動画説明文に何かしらのオマージュ・パロディである旨を表記している曲、YouTube・ニコニコ動画にねこぜなおとこさんがアップロードしていない曲、曲名に固有の人名が含まれる曲,クレータークレーター、紅林珠璃に学ぶスペイン語講座、ピカピカ！帰還者トーマスのテーマ、スターリーデイブレイク、CV三森すずこ、脊髄がリンクルストーンになる頃、ユニタリーユニバース(shooting star reprise)、ムチノチライブラドリーム,許可する,記載しなくてよい,許可する,対象とする,省略できるようにする,使用してよい,,パロディしてくれたら嬉しいです～！普段からややこしい活動をしてるので条件がややこしくなっててすみません！ 条件を満たしてないけどやりたい曲があったら個別にご連絡ください。何とか出来るか分からないですが動きます！,ややこしい条件になっていて申し訳ありません！ 問題ありましたら、ご相談いただけますと幸いです。よろしくお願いいたします！,ねこぜなおとこ,NULL & refactor,https://www.nicovideo.jp/watch/sm27841926,https://nicovideo.jp/user/3575359,https://www.youtube.com/@697nekoze,,https://www.youtube.com/watch?v=gx4PtfoLI5E
2024/07/17 18:34:40,1,同意する,ミナツキトーカ（パンドリストP）,toka_minatsuki,"ボカロP, 作詞家, 絵師, 動画師",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,祭りと聞いて,,みなつきとーか（ぱんどりすとぴー）,全てのVOC@LOIDに宣戦布告,https://www.nicovideo.jp/watch/sm11118039,https://nicovideo.jp/user/328782,https://www.youtube.com/@toka_minatsuki,,https://www.nicovideo.jp/watch/sm11118039
2024/07/17 22:52:24,1,同意する,木村わいP,@kimura_yp,"ボカロP, 作詞家, 絵師, 動画師",,,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,,煮るなり焼くなりお好きにどうぞ！,,きむらわいぴー,高音厨音域テスト,https://www.nicovideo.jp/watch/sm21647485,https://nicovideo.jp/user/28259263,https://www.youtube.com/@kimura_yp,,https://www.youtube.com/watch?v=f91sM4rI76w
2024/07/19 10:27:17,1,同意する,nayuki,@nayukichi_07,"ボカロP, 作詞家, 絵師",七夕の夜に、思い草、愛した君など作詞・作曲クレジットに「nayuki」以外が含まれる作品,,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,,パロディをやれるもんならやってみな！！！,,なゆき,ボーカロイドはUFOの夢を見るか,https://www.nicovideo.jp/watch/sm41752808,https://nicovideo.jp/user/78390468,https://www.youtube.com/@nayukichi_07,,https://www.youtube.com/watch?v=RGZFmhFStyE
2024/07/19 20:54:42,1,同意する,サンタ コトナリ/教祖山田ネパールP,douglasjapanese,ボカロP,,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,「アイコニック六花」以外、絵のパロディ不可,後光差しててごめんなさい/.:°+╰(ˇωˇ )╯;｡:*\ﾊﾟｧｰ,よろしくお願いします,さんたことなり/きょうそやまだねぱーるぴー,星と巡り合う物語,https://www.nicovideo.jp/watch/sm43427569,https://nicovideo.jp/user/129500542,https://www.youtube.com/@Kyoso-Yamada-Nepal,,https://www.nicovideo.jp/watch/sm43427569
2024/07/20 20:44:36,1,同意する,文之丞,@ayanosuke_dcb,"ボカロP, 作詞家",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,「Marionette」、「素直になれなくて」、「あなたがいる、この世界で」、ボカコレ2025冬投稿予定の曲の4曲の絵・動画もパロディ可,もし私の楽曲に興味を持っていただけたら幸いです。よろしくお願いいたします。,現状では特にありません。,あやのすけ,あなたがいる、この世界で,https://www.nicovideo.jp/watch/sm43403050,https://nicovideo.jp/user/128682778,https://www.youtube.com/@_comboy,,https://www.youtube.com/watch?v=va4rUdSOryM
2024/07/29 23:11:45,1,同意する,鳩見ぼーろ（みーぼ）,@hatomi_bo6,"ボカロP, 絵師, 動画師",「ねこねここねこ」「あまいものたべたい」「おうどんたべたい」以外禁止,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,絵・動画もパロディ可,おうどん以外もたべたいですよね,,はとみぼーろ,おうどんたべたい,https://www.nicovideo.jp/watch/sm26150930,https://nicovideo.jp/user/15780491,,,
2024/06/20 2:48:30,1,同意する,Sadso.,@Sadso_44,ボカロP,,ボカコレの時にだけ現れる妖精を食べたい(界隈曲)、独りで生きてる(界隈曲),許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,雹(杞憂いふ)さん、ウルさんが絵を担当されている曲の絵・Sadso.さんが絵・動画を担当されている絵・動画もパロディ可,パロディとか最高だろがパーローwww ...あ、バーローでしたね...ごめんなさい...,,さどそー,独りで生きてる(パロディを含む部分は原則パロディ不可),https://www.nicovideo.jp/watch/sm41849185,https://nicovideo.jp/user/118426442,https://www.youtube.com/@Sadso.official,,
2024/06/25 14:35:05,1,同意する,田淵フミ,fumitabuchi,"ボカロP, 作詞家",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,絵・動画（*yuukaさん担当）もパロディ可,よろしくロック,,たぶちふみ,クリスタル・ローズ,https://www.nicovideo.jp/watch/sm28090579,https://nicovideo.jp/user/5920228,https://www.youtube.com/@fumitabuchi474,,
2024/06/19 1:40:34,1,同意する,腹痛.,@Onaka_itaiP,ボカロP,,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,「崩壊オリジナリティ」「ヱンヴィーラヴチョーカー」「無礼king=BЯAIN」「罪状:」「ターコイズ・ドラッグ」は絵・動画のパロディ可,皆さん是非是非パロってください！,,はらいた,崩壊オリジナリティ,https://www.nicovideo.jp/watch/sm43428040,https://nicovideo.jp/user/118158299,https://www.youtube.com/@Onaka_itaiP,,
2024/07/29 16:33:38,1,同意する,ワアダキナノ,VadaQuinano,"ボカロP, 作詞家, 絵師, 動画師, クソポス師",,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにしない,使用してよい,あすぱらなすさん、葉桜牡丹さんが担当されている絵・ワアダキナノさんが担当されている動画・「ツムチセイ」、「病ん気ィ不安期ィBABY」の歌詞（つむ。さん担当）・「アルデンテデッテデッテンデテデテンテ」の絵（メカコロッケさん担当）もパロディ可,バーリトゥードでノーガードな投稿際があるということで殴られにきました！！！,たいちょうぶっこわしたりしてて遅くなりまして大変失礼いたしました,わあだきなの,ツムチセイ,https://www.nicovideo.jp/watch/sm42526363,https://nicovideo.jp/user/125592791,https://www.youtube.com/@VadaQuinano,,
2024/07/04 22:49:55,1,同意する,井上春,@haru1noue,ボカロP,,ネタ曲投稿祭運営許さない、チェンソーマンのED,許可する,ニコニコ動画以外では動画概要欄での記載必須・ニコニコ動画では親作品の登録のみ必須,許可する,対象とする,省略できるようにする,使用してよい,イラストなど原曲関係者の許可取りが必要そうであれば、ご連絡いただければ確認してきます。,投稿祭期間以外の二次利用も歓迎です！,,いのうえはる,タチが悪いな立川,https://www.nicovideo.jp/watch/sm42986731,https://nicovideo.jp/user/116456492,https://www.youtube.com/@haru1noue,,
2024/08/28 16:46:46,0,同意する,NeruruTo,NeruruTo,"ボカロP, 作詞家, 絵師, 動画師",,｢ちくわディクショナリ｣でのハッカ油、本社爆破ネタ、dogeミーム、ヤンクミ,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,じゆうにCRAZYに。パロディるのなんて全然しちゃってください👾,,ねるーと,混沌デッドソング,,,,,
2024/08/28 10:32:17,0,同意する,如月p-軽動脈pとさすまたp,kisragi_p,ボカロP,,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,「蒼鐘」の写真に関しては8/28段階では許可は取れていませんので許可が取れ次第連絡させて頂きます,好きなだけ弄ってやって下さい!!,何か有ればDMにて御連絡御願い致します,きさらぎぴー けいどうみゃくぴーとさすまたぴー,嫌悪,,,,,
2024/08/27 15:41:38,0,同意する,GPS(たけのこ),@takenoco119gps,ボカロP,,,許可する,動画概要欄での記載・親作品の登録が必須,許可する,対象とする,省略できるようにする,使用してよい,,ネタ曲投稿祭関連のタグの付いた曲を推奨してます。どんどんやっちゃってください！,,じーぴーえすかっこたけのこ,えっちな絵にいいねした,,,,,
